VendorNo,Country,Currency,TradeTerm,TradeTermName,PaymentTerm
10063,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10065,CHINA,USD,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10066,MALAYSIA,RM,DTD,DOOR TO DOOR,30DAYS UPON MONTHLY CUT OFF  
10069,MALAYSIA,RM,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10070,CHINA,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10072,CHINA,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
10074,MALAYSIA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,45DAYS UPON MONTHLY CUT OFF
10075,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10076,MALAYSIA,USD,CIF,"COST, INSURANCE AND FREIGHT",30DAYS UPON MONTHLY CUT OFF  
10077,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10078,MALAYSIA,RM,EXW,EX-WORKS OR EX-WAREHOUSE,90DAYS UPON MONTHLY CUT OFF
10079,TAIWAN,USD,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10081,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10082,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10083,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10084,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10085,TAIWAN,USD,DDU,DELIVERED DUTY UNPAID,30 DAYS NETT 
10086,CHINA,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10087,TAIWAN,USD,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10088,CHINA,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10089,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10090,MALAYSIA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
10091,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10092,CHINA,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10094,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
10095,MALAYSIA,USD,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
10096,TAIWAN,USD,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10097,SINGAPORE,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
10098,SINGAPORE,USD,FCA,FREE CARRIER,60DAYS UPON MONTHLY CUT OFF
10099,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10100,MALAYSIA,RM,CIF,"COST, INSURANCE AND FREIGHT",30DAYS UPON MONTHLY CUT OFF  
10101,USA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10102,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10103,SINGAPORE,USD,FCA,FREE CARRIER,45 DAYS NETT
10104,SINGAPORE,USD,FCA,FREE CARRIER,60DAYS UPON MONTHLY CUT OFF
10105,MALAYSIA,USD,DAP,DELIVERED AT PLACE,30 DAYS NETT 
10106,MALAYSIA,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10107,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10109,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10110,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,90DAYS UPON MONTHLY CUT OFF
10111,CHINA,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
10112,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10113,SINGAPORE,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10114,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10115,SINGAPORE,RM,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10116,TAIWAN,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
10117,SINGAPORE,USD,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10118,CHINA,USD,FCA,FREE CARRIER,60DAYS UPON MONTHLY CUT OFF
10119,CHINA,USD,FCA,FREE CARRIER,30 DAYS NETT 
10120,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10121,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10122,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,75 DAYS UPON MONTH END CUT OFF
10123,MALAYSIA,USD,EXF,EX-FACTORY,75 DAYS NETT
10124,USA,USD,FOB,FREIGHT ON BOARD,90 DAYS NETT
10125,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10127,CHINA,USD,FCA,FREE CARRIER,30 DAYS NETT 
10128,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10129,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60 DAYS NETT
10130,SINGAPORE,USD,FCA,FREE CARRIER,30DAYS UPON MONTHLY CUT OFF  
10131,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,90DAYS UPON MONTHLY CUT OFF
10132,CHINA,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10133,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10134,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10141,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10142,MALAYSIA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
10143,SINGAPORE,USD,FCA,FREE CARRIER,30 DAYS NETT 
10144,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10145,MALAYSIA,RM,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10146,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10147,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10148,SINGAPORE,USD,FCA,FREE CARRIER,PAYMENT UPON PO ISSUED
10149,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,75 DAYS NETT
10150,USA,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10151,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,45 DAYS NETT
10152,CHINA,USD,EXF,EX-FACTORY,60DAYS UPON MONTHLY CUT OFF
10153,CHINA,USD,FCA,FREE CARRIER,30 DAYS NETT 
10154,MALAYSIA,USD,DTD,DOOR TO DOOR,60 DAYS NETT
10155,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10156,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
10157,SINGAPORE,USD,FCA,FREE CARRIER,60DAYS UPON MONTHLY CUT OFF
10158,CHINA,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10159,USA,USD,FCA,FREE CARRIER,30DAYS UPON MONTHLY CUT OFF  
10160,SINGAPORE,USD,FCA,FREE CARRIER,30 DAYS NETT 
10161,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10162,SINGAPORE,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
10163,CHINA,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
10164,MALAYSIA,USD,EXF,EX-FACTORY,30 DAYS NETT 
10165,MALAYSIA,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10166,TAIWAN,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10167,MALAYSIA,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10169,MALAYSIA,USD,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10170,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10171,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10172,TAIWAN,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10173,USA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10174,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10175,MALAYSIA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10176,SINGAPORE,USD,FCA,FREE CARRIER,60DAYS UPON MONTHLY CUT OFF
10177,SINGAPORE,USD,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10178,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10179,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10180,SINGAPORE,USD,FOB,FREIGHT ON BOARD,PAYMENT UPON PO ISSUED
10181,TAIWAN,USD,FCA,FREE CARRIER,PAYMENT BEFORE DELIVERY
10182,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10183,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10184,TAIWAN,USD,EXF,EX-FACTORY,30 DAYS NETT 
10185,CHINA,USD,EXF,EX-FACTORY,60DAYS UPON MONTHLY CUT OFF
10186,MALAYSIA,RM,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10187,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60 DAYS NETT
10188,MALAYSIA,RM,EXF,EX-FACTORY,90DAYS UPON MONTHLY CUT OFF
10190,MALAYSIA,USD,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10191,CHINA,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
10193,CHINA,USD,FCA,FREE CARRIER,30DAYS UPON MONTHLY CUT OFF  
10198,MALAYSIA,USD,DTD,DOOR TO DOOR,30DAYS UPON MONTHLY CUT OFF  
10200,SINGAPORE,USD,EXF,EX-FACTORY,30 DAYS NETT 
10201,MALAYSIA,USD,DAP,DELIVERED AT PLACE,60 DAYS NETT
10202,USA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10204,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10205,MALAYSIA,USD,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10206,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60 DAYS NETT
10207,MALAYSIA,USD,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10209,USA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10210,MALAYSIA,USD,DTD,DOOR TO DOOR,30DAYS UPON MONTHLY CUT OFF  
10211,USA,USD,FCA,FREE CARRIER,30 DAYS NETT 
10212,THAILAND,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10213,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10214,CHINA,USD,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10215,TAIWAN,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10216,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10217,MALAYSIA,RM,DDP,DELIVERED DUTY PAID,30 DAYS NETT 
10218,CHINA,USD,DAP,DELIVERED AT PLACE,90DAYS UPON MONTHLY CUT OFF
10219,CHINA,USD,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
10220,CHINA,USD,FCA,FREE CARRIER,30DAYS UPON MONTHLY CUT OFF  
10221,CHINA,USD,DAP,DELIVERED AT PLACE,30 DAYS NETT 
10222,CHINA,USD,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
10223,MALAYSIA,RM,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10224,MALAYSIA,RM,DTD,DOOR TO DOOR,90DAYS UPON MONTHLY CUT OFF
10225,CHINA,USD,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
10226,CHINA,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10227,CHINA,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10229,MALAYSIA,RM,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10231,MALAYSIA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10232,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60 DAYS NETT
10233,CHINA,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10234,THAILAND,USD,CIF,"COST, INSURANCE AND FREIGHT",30DAYS UPON MONTHLY CUT OFF  
10235,CHINA,USD,DAP,DELIVERED AT PLACE,90DAYS UPON MONTHLY CUT OFF
10236,MALAYSIA,USD,DAP,DELIVERED AT PLACE,CASH ON DELIVERY
10239,CHINA,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10240,SINGAPORE,USD,DAP,DELIVERED AT PLACE,30 DAYS NETT 
10241,MALAYSIA,RM,DAP,DELIVERED AT PLACE,90DAYS UPON MONTHLY CUT OFF
10242,USA,USD,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10243,CHINA,USD,DDP,DELIVERED DUTY PAID,60DAYS UPON MONTHLY CUT OFF
10244,MALAYSIA,RM,DTD,DOOR TO DOOR,30 DAYS NETT 
10245,KOREA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10246,TAIWAN,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10247,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10248,CHINA,USD,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
10249,CHINA,USD,DDU,DELIVERED DUTY UNPAID,90DAYS UPON MONTHLY CUT OFF
10250,MALAYSIA,RM,DTD,DOOR TO DOOR,90DAYS UPON MONTHLY CUT OFF
10251,CHINA,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10252,SINGAPORE,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10253,CHINA,USD,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10254,CHINA,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10255,TAIWAN,USD,DAP,DELIVERED AT PLACE,60 DAYS NETT
10256,CHINA,USD,DAP,DELIVERED AT PLACE,60 DAYS NETT
10257,CHINA,USD,DDU,DELIVERED DUTY UNPAID,90DAYS UPON MONTHLY CUT OFF
10259,TAIWAN,USD,DAP,DELIVERED AT PLACE,60 DAYS NETT
10260,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10262,CHINA,USD,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10263,MALAYSIA,USD,DAP,DELIVERED AT PLACE,60 DAYS NETT
10264,MALAYSIA,RM,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10265,SINGAPORE,USD,FOB,FREIGHT ON BOARD,90 DAYS NETT
10266,USA,USD,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10269,CHINA,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10270,SINGAPORE,USD,FOB,FREIGHT ON BOARD,PAYMENT BEFORE DELIVERY
10271,CHINA,USD,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10273,MALAYSIA,RM,DTD,DOOR TO DOOR,30 DAYS NETT 
10275,CHINA,USD,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10276,CHINA,USD,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
10277,CHINA,USD,CIF,"COST, INSURANCE AND FREIGHT",30 DAYS NETT 
10278,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
10279,CHINA,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10280,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10281,TAIWAN,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
10282,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,75 DAYS NETT
10283,CHINA,USD,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10284,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,90 DAYS NETT
10285,CHINA,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10286,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60 DAYS NETT
10287,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10288,MALAYSIA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,75 DAYS NETT
10289,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10290,MALAYSIA,RM,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10291,TAIWAN,USD,EXW,EX-WORKS OR EX-WAREHOUSE,PAYMENT BEFORE DELIVERY
10293,CHINA,USD,FCA,FREE CARRIER,60DAYS UPON MONTHLY CUT OFF
10294,CHINA,USD,EXF,EX-FACTORY,30 DAYS NETT 
10295,MALAYSIA,RM,DAP,DELIVERED AT PLACE,30DAYS UPON MONTHLY CUT OFF  
10296,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,75 DAYS UPON MONTH END CUT OFF
10298,MALAYSIA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,75 DAYS NETT
10299,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
10300,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10301,JAPAN,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10303,USA,USD,CIF,"COST, INSURANCE AND FREIGHT",30DAYS UPON MONTHLY CUT OFF  
10304,CHINA,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10305,USA,USD,FOB,FREIGHT ON BOARD,60 DAYS NETT
10306,CHINA,USD,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10307,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10308,SINGAPORE,USD,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10309,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10310,USA,USD,DAP,DELIVERED AT PLACE,30 DAYS NETT 
10311,CHINA,USD,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10312,USA,USD,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10313,MALAYSIA,RM,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10314,MALAYSIA,RM,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10315,USA,USD,CIF,"COST, INSURANCE AND FREIGHT",90 DAYS NETT
10316,SINGAPORE,USD,EXF,EX-FACTORY,60 DAYS NETT
10319,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10320,CHINA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60 DAYS NETT
10321,CHINA,USD,CIF,"COST, INSURANCE AND FREIGHT",PAYMENT BEFORE DELIVERY
10322,USA,USD,DAP,DELIVERED AT PLACE,45 DAYS NETT
10323,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10324,USA,USD,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10325,USA,USD,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10326,MALAYSIA,RM,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10327,MALAYSIA,RM,DTD,DOOR TO DOOR,30DAYS UPON MONTHLY CUT OFF  
10329,TAIWAN,USD,CIF,"COST, INSURANCE AND FREIGHT",90DAYS UPON MONTHLY CUT OFF
10330,TAIWAN,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10334,MALAYSIA,RM,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10335,MALAYSIA,RM,DTD,DOOR TO DOOR,30DAYS UPON MONTHLY CUT OFF  
10336,JAPAN,USD,DTD,DOOR TO DOOR,60DAYS UPON MONTHLY CUT OFF
10337,USA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30 DAYS NETT 
10338,USA,USD,FOB,FREIGHT ON BOARD,PAYMENT BEFORE DELIVERY
